User ID,User Link,Debug Link,Position,Tuple Index,Tuple Name,Problems,Cluster,Pair Type,V1 Metric,V2 Metric
U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F&debugKey=xR9mK2nP7qL4wZ8v,1,3,cluster_1/tuple_2:cc_python_2_27:cc_python_27_5:cc_python_5,cc_python_2 + cc_python_27 + cc_python_5,cluster_1,mi_vs_logprob,mi,logprob
U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F&debugKey=xR9mK2nP7qL4wZ8v,2,6,cluster_2/tuple_5:cc_python_5_26:cc_python_26_22:cc_python_22,cc_python_5 + cc_python_26 + cc_python_22,cluster_2,logprob_vs_tokens,logprob,tokens
U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F&debugKey=xR9mK2nP7qL4wZ8v,3,33,cluster_7/tuple_11:cc_python_11_10:cc_python_10_27:cc_python_27,cc_python_11 + cc_python_10 + cc_python_27,cluster_7,mi_vs_tokens,mi,tokens
U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F&debugKey=xR9mK2nP7qL4wZ8v,4,20,cluster_4/tuple_8:cc_python_8_9:cc_python_9_3:cc_python_3,cc_python_8 + cc_python_9 + cc_python_3,cluster_4,logprob_vs_tokens,logprob,tokens
U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F&debugKey=xR9mK2nP7qL4wZ8v,5,4,cluster_1/tuple_2:cc_python_2_27:cc_python_27_5:cc_python_5,cc_python_2 + cc_python_27 + cc_python_5,cluster_1,mi_vs_tokens,mi,tokens
U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F&debugKey=xR9mK2nP7qL4wZ8v,6,29,cluster_6/tuple_12:cc_python_12_2:cc_python_2_11:cc_python_11,cc_python_12 + cc_python_2 + cc_python_11,cluster_6,logprob_vs_tokens,logprob,tokens
U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F&debugKey=xR9mK2nP7qL4wZ8v,7,17,cluster_4/tuple_28:cc_python_28_4:cc_python_4_11:cc_python_11_good,cc_python_28 + cc_python_4 + cc_python_11,cluster_4,logprob_vs_tokens,logprob,tokens
U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F&debugKey=xR9mK2nP7qL4wZ8v,8,43,cluster_9/tuple_8:cc_python_8_10:cc_python_10_20:cc_python_20,cc_python_8 + cc_python_10 + cc_python_20,cluster_9,mi_vs_logprob,mi,logprob
U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F&debugKey=xR9mK2nP7qL4wZ8v,9,42,cluster_9/tuple_17:cc_python_17_16:cc_python_16_19:cc_python_19,cc_python_17 + cc_python_16 + cc_python_19,cluster_9,logprob_vs_tokens,logprob,tokens
U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F,https://zzigak.github.io/refactor_study/?id=U05AC19D4F&debugKey=xR9mK2nP7qL4wZ8v,10,23,cluster_5/tuple_28:cc_python_28_1:cc_python_1_19:cc_python_19,cc_python_28 + cc_python_1 + cc_python_19,cluster_5,logprob_vs_tokens,logprob,tokens
U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33&debugKey=xR9mK2nP7qL4wZ8v,1,38,cluster_8/tuple_28:cc_python_28_3:cc_python_3_29:cc_python_29,cc_python_28 + cc_python_3 + cc_python_29,cluster_8,mi_vs_logprob,mi,logprob
U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33&debugKey=xR9mK2nP7qL4wZ8v,2,13,cluster_3/tuple_7:cc_python_7_29:cc_python_29_0:cc_python_0,cc_python_7 + cc_python_29 + cc_python_0,cluster_3,mi_vs_tokens,mi,tokens
U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33&debugKey=xR9mK2nP7qL4wZ8v,3,22,cluster_5/tuple_28:cc_python_28_1:cc_python_1_19:cc_python_19,cc_python_28 + cc_python_1 + cc_python_19,cluster_5,mi_vs_tokens,mi,tokens
U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33&debugKey=xR9mK2nP7qL4wZ8v,4,12,cluster_3/tuple_7:cc_python_7_29:cc_python_29_0:cc_python_0,cc_python_7 + cc_python_29 + cc_python_0,cluster_3,mi_vs_logprob,mi,logprob
U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33&debugKey=xR9mK2nP7qL4wZ8v,5,21,cluster_5/tuple_28:cc_python_28_1:cc_python_1_19:cc_python_19,cc_python_28 + cc_python_1 + cc_python_19,cluster_5,mi_vs_logprob,mi,logprob
U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33&debugKey=xR9mK2nP7qL4wZ8v,6,0,cluster_0/tuple_29:cc_python_29_19:cc_python_19_13:cc_python_13,cc_python_29 + cc_python_19 + cc_python_13,cluster_0,mi_vs_logprob,mi,logprob
U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33&debugKey=xR9mK2nP7qL4wZ8v,7,44,cluster_9/tuple_8:cc_python_8_10:cc_python_10_20:cc_python_20,cc_python_8 + cc_python_10 + cc_python_20,cluster_9,logprob_vs_tokens,logprob,tokens
U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33&debugKey=xR9mK2nP7qL4wZ8v,8,43,cluster_9/tuple_8:cc_python_8_10:cc_python_10_20:cc_python_20,cc_python_8 + cc_python_10 + cc_python_20,cluster_9,mi_vs_logprob,mi,logprob
U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33&debugKey=xR9mK2nP7qL4wZ8v,9,10,cluster_3/tuple_6:cc_python_6_21:cc_python_21_9:cc_python_9,cc_python_6 + cc_python_21 + cc_python_9,cluster_3,mi_vs_tokens,mi,tokens
U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33,https://zzigak.github.io/refactor_study/?id=U09A97DA33&debugKey=xR9mK2nP7qL4wZ8v,10,29,cluster_6/tuple_12:cc_python_12_2:cc_python_2_11:cc_python_11,cc_python_12 + cc_python_2 + cc_python_11,cluster_6,logprob_vs_tokens,logprob,tokens
