UserID,Position,TupleID,Choice,Reason,User ID,Tuple Index,Tuple Name,Cluster,Pair Type,Original V1 Metric,Original V2 Metric,Swapped,Actual_Choice,Consensus_Rate,Majority_Choice
UE064AED19,1,4,V1,"I found V1 more legible, whereas V2 did some questionable things (e.g. defining ""input = sys.stdin.readline"" for P1).",UE064AED19,4,cluster_1/tuple_2:cc_python_2_27:cc_python_27_5:cc_python_5,cluster_1,mi_vs_tokens,mi,tokens,Yes,tokens,1.0,tokens
UE064AED19,3,41,V2,V2 led to a much nicer solution to P1.,UE064AED19,41,cluster_9/tuple_17:cc_python_17_16:cc_python_16_19:cc_python_19,cluster_9,mi_vs_tokens,mi,tokens,No,tokens,0.75,tokens
UE064AED19,7,13,V1,"While both have similar helpers, only V1 uses them well to produce succinct solutions.",UE064AED19,13,cluster_3/tuple_7:cc_python_7_29:cc_python_29_0:cc_python_0,cluster_3,mi_vs_tokens,mi,tokens,Yes,tokens,0.75,tokens
UE064AED19,9,30,V2,V2's solutions used the helpers to avoid major loop nesting in the main body of the program.,UE064AED19,30,cluster_6/tuple_19:cc_python_19_14:cc_python_14_7:cc_python_7,cluster_6,mi_vs_logprob,mi,logprob,No,logprob,1.0,logprob
U7FC4E8A3C,5,13,V1,I prefer more concise main functions wtith good naming of subroutines,U7FC4E8A3C,13,cluster_3/tuple_7:cc_python_7_29:cc_python_29_0:cc_python_0,cluster_3,mi_vs_tokens,mi,tokens,Yes,tokens,0.75,tokens
U7FC4E8A3C,7,10,V1,i slightly prefer the naming corresponding to what the solution represents vs what the underlying solution approach is,U7FC4E8A3C,10,cluster_3/tuple_6:cc_python_6_21:cc_python_21_9:cc_python_9,cluster_3,mi_vs_tokens,mi,tokens,No,mi,0.75,tokens
U33109D65F,3,10,V1,V1's code was overall simpler and more readable. V2's code was a bit too complex,U33109D65F,10,cluster_3/tuple_6:cc_python_6_21:cc_python_21_9:cc_python_9,cluster_3,mi_vs_tokens,mi,tokens,Yes,tokens,0.75,tokens
U33109D65F,5,6,V2,"V2 was more modular with more functions that were each shorter compared to V1, which had longer and more confusing functions.",U33109D65F,6,cluster_2/tuple_5:cc_python_5_26:cc_python_26_22:cc_python_22,cluster_2,logprob_vs_tokens,logprob,tokens,No,tokens,1.0,tokens
U33109D65F,6,24,V2,V2's code is shorter and overall simpler.,U33109D65F,24,cluster_5/tuple_5:cc_python_5_29:cc_python_29_7:cc_python_7,cluster_5,mi_vs_logprob,mi,logprob,No,logprob,1.0,logprob
U33109D65F,10,12,EG,The versions are very similar despite some naming differences,U33109D65F,12,cluster_3/tuple_7:cc_python_7_29:cc_python_29_0:cc_python_0,cluster_3,mi_vs_logprob,mi,logprob,No,EG,1.0,EG
U798B7CC2F,1,6,V1,"V1 is more granular, V2 bundles up different functions into fewer abstractions",U798B7CC2F,6,cluster_2/tuple_5:cc_python_5_26:cc_python_26_22:cc_python_22,cluster_2,logprob_vs_tokens,logprob,tokens,Yes,tokens,1.0,tokens
U798B7CC2F,2,36,V1,"Abstracted functions appear more re-usable, version two generates convenience functions like binpow which do not really need to be filtered out.",U798B7CC2F,36,cluster_8/tuple_24:cc_python_24_15:cc_python_15_10:cc_python_10,cluster_8,mi_vs_logprob,mi,logprob,Yes,logprob,0.75,logprob
