filename	voice	line_id	hanzi
bright_adventurer_00_intro.wav	bright_adventurer	00_intro	我们的任务是解开这座迷宫。跟着我的声音，走吧！
bright_adventurer_01_over_here.wav	bright_adventurer	01_over_here	我在这里！快过来！
bright_adventurer_01_come_here.wav	bright_adventurer	01_come_here	来这里！这边！
bright_adventurer_01_this_way.wav	bright_adventurer	01_this_way	这边走！跟我来！
bright_adventurer_02_jump.wav	bright_adventurer	02_jump	跳！快跳！
bright_adventurer_02_watch_out_jump.wav	bright_adventurer	02_watch_out_jump	小心！前面要跳过去！
bright_adventurer_03_monster_quiet.wav	bright_adventurer	03_monster_quiet	糟了，安静点，那里有怪物。
bright_adventurer_03_crouch.wav	bright_adventurer	03_crouch	蹲下来，这样它就听不见你了。
elegant_mage_00_intro.wav	elegant_mage	00_intro	我们的任务是解开这座迷宫。跟着我的声音，走吧！
elegant_mage_01_over_here.wav	elegant_mage	01_over_here	我在这里！快过来！
elegant_mage_01_come_here.wav	elegant_mage	01_come_here	来这里！这边！
elegant_mage_01_this_way.wav	elegant_mage	01_this_way	这边走！跟我来！
elegant_mage_02_jump.wav	elegant_mage	02_jump	跳！快跳！
elegant_mage_02_watch_out_jump.wav	elegant_mage	02_watch_out_jump	小心！前面要跳过去！
elegant_mage_03_monster_quiet.wav	elegant_mage	03_monster_quiet	糟了，安静点，那里有怪物。
elegant_mage_03_crouch.wav	elegant_mage	03_crouch	蹲下来，这样它就听不见你了。
calm_shrine_style_00_intro.wav	calm_shrine_style	00_intro	我们的任务是解开这座迷宫。跟着我的声音，走吧！
calm_shrine_style_01_over_here.wav	calm_shrine_style	01_over_here	我在这里！快过来！
calm_shrine_style_01_come_here.wav	calm_shrine_style	01_come_here	来这里！这边！
calm_shrine_style_01_this_way.wav	calm_shrine_style	01_this_way	这边走！跟我来！
calm_shrine_style_02_jump.wav	calm_shrine_style	02_jump	跳！快跳！
calm_shrine_style_02_watch_out_jump.wav	calm_shrine_style	02_watch_out_jump	小心！前面要跳过去！
calm_shrine_style_03_monster_quiet.wav	calm_shrine_style	03_monster_quiet	糟了，安静点，那里有怪物。
calm_shrine_style_03_crouch.wav	calm_shrine_style	03_crouch	蹲下来，这样它就听不见你了。
playful_companion_00_intro.wav	playful_companion	00_intro	我们的任务是解开这座迷宫。跟着我的声音，走吧！
playful_companion_01_over_here.wav	playful_companion	01_over_here	我在这里！快过来！
playful_companion_01_come_here.wav	playful_companion	01_come_here	来这里！这边！
playful_companion_01_this_way.wav	playful_companion	01_this_way	这边走！跟我来！
playful_companion_02_jump.wav	playful_companion	02_jump	跳！快跳！
playful_companion_02_watch_out_jump.wav	playful_companion	02_watch_out_jump	小心！前面要跳过去！
playful_companion_03_monster_quiet.wav	playful_companion	03_monster_quiet	糟了，安静点，那里有怪物。
playful_companion_03_crouch.wav	playful_companion	03_crouch	蹲下来，这样它就听不见你了。
teacher_motherly_00_intro.wav	teacher_motherly	00_intro	我们的任务是解开这座迷宫。跟着我的声音，走吧！
teacher_motherly_01_over_here.wav	teacher_motherly	01_over_here	我在这里！快过来！
teacher_motherly_01_come_here.wav	teacher_motherly	01_come_here	来这里！这边！
teacher_motherly_01_this_way.wav	teacher_motherly	01_this_way	这边走！跟我来！
teacher_motherly_02_jump.wav	teacher_motherly	02_jump	跳！快跳！
teacher_motherly_02_watch_out_jump.wav	teacher_motherly	02_watch_out_jump	小心！前面要跳过去！
teacher_motherly_03_monster_quiet.wav	teacher_motherly	03_monster_quiet	糟了，安静点，那里有怪物。
teacher_motherly_03_crouch.wav	teacher_motherly	03_crouch	蹲下来，这样它就听不见你了。
